Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,17940.84,215290.08,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
"Increased_Cost_Estimate,US East (N. Virginia),,Amazon CloudFront,0,55.84,670.08,USD,,""Data transfer out to origin (10 GB per month), Data transfer out to internet (500 GB per month), Number of requests (HTTPS) (5 per second)"""
Increased_Cost_Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,,Working days per month (22)
"Increased_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,1.35,16.20,USD,,""GET, SELECT, and all other requests from S3 Standard (1000), Data returned by S3 Select (500 GB per month), Data scanned by S3 Select (500 GB per month), PUT, COPY, POST, LIST requests to S3 Standard ()"""
"Increased_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,,""DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month)"""
Increased_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,441.65000000000003,5299.80,USD,,Number of Application Load Balancers (2)
"Increased_Cost_Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,4630.32,55563.84,USD,,""Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB), Nodes (2), Instance Type (db.m4.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"""
"Increased_Cost_Estimate > Ec2,US East (N. Virginia),Web Servers,Amazon EC2 ,0,6359.76,76317.12,USD,,""Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 9), Advance EC2 instance (m5.8xlarge), Pricing strategy ( 1yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"""
"Increased_Cost_Estimate > Ec2,US East (N. Virginia),Appliocation Servers,Amazon EC2 ,0,6359.76,76317.12,USD,,""Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 9), Advance EC2 instance (m5.8xlarge), Pricing strategy ( 1yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"""



Acknowledgement
* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.
keeping the web/application servers specs but increasing the instances number to 8 in different Azs to increase both performance and availability also adding  2 read replicas to the workflow to maximize read performance and achieve high availability
