Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8510.880000000001,102130.56,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
"Initial_Cost_Estimate,US East (N. Virginia),CDN,Amazon CloudFront,0,42.7,512.40,USD,,""Data transfer out to internet (500 GB per month), Data transfer out to origin (10 GB per month), Number of requests (HTTPS) (10 per month)"""
"Initial_Cost_Estimate,US East (N. Virginia),VPC,VPN Connection,0,0,0.00,USD,,""Working days per month (22), Number of subnet associations (), Number of Site-to-Site VPN Connections (0)"""
"Initial_Cost_Estimate,US East (N. Virginia),S3 Bucket,S3 Standard,0,12.86,154.32,USD,,""S3 Standard storage (500 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (1000), GET, SELECT, and all other requests from S3 Standard (1000), Data returned by S3 Select (500 GB per month), Data scanned by S3 Select (500 GB per month)"""
Initial_Cost_Estimate,US East (N. Virginia),S3 Bucket,Data Transfer,0,0,0.00,USD,,
"Initial_Cost_Estimate > Application Servers ASG,US East (N. Virginia),Application Servers,Amazon EC2 ,0,2826.56,33918.72,USD,,""Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5.8xlarge), Pricing strategy ( 1yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"""
"Initial_Cost_Estimate > Web Servers ASG,US East (N. Virginia),Web Servers,Amazon EC2 ,0,2826.56,33918.72,USD,,""Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5.8xlarge), Pricing strategy ( 1yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"""
"Initial_Cost_Estimate > Database,US East (N. Virginia),Master,Amazon RDS for PostgreSQL,0,1401.1,16813.20,USD,,""Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB), Nodes (1), Instance Type (db.m4.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Total Size of Backup Processed for Export (GB) (250 per month), Additional backup storage (1 TB)"""
"Initial_Cost_Estimate > Database,US East (N. Virginia),Read Replica,Amazon RDS for PostgreSQL,0,1401.1,16813.20,USD,,""Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB), Nodes (1), Instance Type (db.m4.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Total Size of Backup Processed for Export (GB) (250 per month), Additional backup storage (1 TB)"""
Increased_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,49.230000000000004,590.76,USD,,Number of Application Load Balancers (2)


Acknowledgement
* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.
